tau,thr,entry,n_cand,fill_rate,n_fill,win_uncond,win_fill,ev_maker,ev_taker,ev_maker0
120,50,0.9,1507,0.07962840079628401,120,0.9893828798938288,0.8666666666666667,-0.04333333333333333,-0.04333333333333333,-0.033333333333333326
120,50,0.93,1507,0.1028533510285335,155,0.9893828798938288,0.896774193548387,-0.043225806451612996,-0.043225806451612996,-0.033225806451612994
120,50,0.95,1507,0.1366954213669542,206,0.9893828798938288,0.9223300970873787,-0.03766990291262129,-0.03766990291262129,-0.027669902912621287
120,50,0.97,1507,0.2183145321831453,329,0.9893828798938288,0.9513677811550152,-0.028632218844984784,-0.028632218844984784,-0.018632218844984783
120,50,0.98,1507,0.30723291307232914,463,0.9893828798938288,0.9654427645788337,-0.024557235421166272,-0.024557235421166272,-0.01455723542116627
120,50,0.99,1507,0.48838752488387527,736,0.9893828798938288,0.9782608695652174,-0.021739130434782587,-0.021739130434782587,-0.011739130434782585
120,75,0.9,1158,0.038860103626943004,45,0.9956822107081175,0.8888888888888888,-0.021111111111111185,-0.021111111111111185,-0.011111111111111183
120,75,0.93,1158,0.055267702936096716,64,0.9956822107081175,0.921875,-0.01812500000000005,-0.01812500000000005,-0.008125000000000049
120,75,0.95,1158,0.07340241796200346,85,0.9956822107081175,0.9411764705882353,-0.018823529411764676,-0.018823529411764676,-0.008823529411764675
120,75,0.97,1158,0.12435233160621761,144,0.9956822107081175,0.9652777777777778,-0.01472222222222218,-0.01472222222222218,-0.00472222222222218
120,75,0.98,1158,0.19948186528497408,231,0.9956822107081175,0.9783549783549783,-0.011645021645021672,-0.011645021645021672,-0.0016450216450216715
120,75,0.99,1158,0.3756476683937824,435,0.9956822107081175,0.9885057471264368,-0.011494252873563196,-0.011494252873563196,-0.0014942528735631955
120,100,0.9,864,0.02662037037037037,23,0.9965277777777778,0.8695652173913043,-0.0404347826086957,-0.0404347826086957,-0.0304347826086957
120,100,0.93,864,0.03587962962962963,31,0.9965277777777778,0.9032258064516129,-0.03677419354838717,-0.03677419354838717,-0.02677419354838717
120,100,0.95,864,0.047453703703703706,41,0.9965277777777778,0.926829268292683,-0.033170731707316985,-0.033170731707316985,-0.023170731707316983
120,100,0.97,864,0.08564814814814815,74,0.9965277777777778,0.9594594594594594,-0.020540540540540546,-0.020540540540540546,-0.010540540540540544
120,100,0.98,864,0.13541666666666666,117,0.9965277777777778,0.9743589743589743,-0.015641025641025645,-0.015641025641025645,-0.005641025641025643
120,100,0.99,864,0.28935185185185186,250,0.9965277777777778,0.988,-0.012000000000000002,-0.012000000000000002,-0.0020000000000000018
120,150,0.9,498,0.010040160642570281,5,1.0,1.0,0.08999999999999998,0.08999999999999998,0.09999999999999998
120,150,0.93,498,0.01606425702811245,8,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
120,150,0.95,498,0.024096385542168676,12,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
120,150,0.97,498,0.04819277108433735,24,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
120,150,0.98,498,0.0783132530120482,39,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
